ID;Lat;Lon;Alt;Vel;Ax;Ay;Az;Mx;My;Mz
102;47.4731501333333;19.0633435833333;110.535;0.064;0.565;0.01;1.935;-11.68;4.16;-28.96
103;47.4731501333333;19.0633435833333;110.535;0.064;0.565;0.01;1.935;-11.68;4.16;-28.96
104;47.4731501333333;19.0633434833333;110.526;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
105;47.47315015;19.0633435;110.525;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
106;47.47315015;19.0633435;110.525;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
107;47.4731501833333;19.0633432833333;110.522;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
108;47.4731501833333;19.0633432833333;110.522;0.158;0.565;0.01;1.935;-11.68;4.16;-28.96
109;47.47315025;19.0633433166667;110.525;0.158;0.565;0.01;1.935;-11.68;4.16;-28.96
110;47.4731503666667;19.0633433333333;110.527;0.158;0.565;0.01;1.935;-11.68;4.16;-28.96
111;47.4731505166667;19.0633432166667;110.528;0.158;0.565;0.01;1.935;-11.68;4.16;-28.96
112;47.4731508;19.06334305;110.534;1.055;0.565;0.01;1.935;-11.68;4.16;-28.96
113;47.4731515333333;19.06334265;110.54;1.055;0.565;0.01;1.935;-11.68;4.16;-28.96
114;47.47315255;19.0633422333333;110.544;1.055;0.565;0.01;1.935;-11.68;4.16;-28.96
115;47.47315385;19.0633410333333;110.54;1.055;0.565;0.01;1.935;-11.68;4.16;-28.96
116;47.4731554833333;19.06334015;110.566;3.518;0.565;0.01;1.935;-11.68;4.16;-28.96
117;47.4731595;19.0633365833333;110.576;3.518;0.565;0.01;1.935;-11.68;4.16;-28.96
118;47.4731619166667;19.0633338333333;110.571;3.518;0.565;0.01;1.935;-11.68;4.16;-28.96
119;47.4731643333333;19.063331;110.568;3.518;0.565;0.01;1.935;-11.68;4.16;-28.96
120;47.4731643333333;19.063331;110.568;5.742;0.565;0.01;1.935;-11.68;4.16;-28.96
121;47.4731670333333;19.0633271666667;110.554;5.742;0.565;0.01;1.935;-11.68;4.16;-28.96
122;47.4731694166667;19.0633225333333;110.558;5.742;0.565;0.01;1.935;-11.68;4.16;-28.96
123;47.4731734833333;19.0633118;110.547;5.742;0.565;0.01;1.935;-11.68;4.16;-28.96
124;47.4731734833333;19.0633118;110.547;6.333;0.565;0.01;1.935;-11.68;4.16;-28.96
125;47.4731747;19.0633062166667;110.579;6.333;0.565;0.01;1.935;-11.68;4.16;-28.96
126;47.4731753833333;19.0633004166667;110.627;6.333;0.565;0.01;1.935;-11.68;4.16;-28.96
127;47.473176;19.0632942;110.647;6.333;0.565;0.01;1.935;-11.68;4.16;-28.96
128;47.4731758666667;19.0632878833333;110.653;6.59;0.565;0.01;1.935;-11.68;4.16;-28.96
129;47.4731752166667;19.0632817666667;110.638;6.59;0.565;0.01;1.935;-11.68;4.16;-28.96
130;47.473173;19.0632699166667;110.594;6.59;0.565;0.01;1.935;-11.68;4.16;-28.96
131;47.4731708166667;19.0632646666667;110.601;6.59;0.565;0.01;1.935;-11.68;4.16;-28.96
132;47.4731708166667;19.0632646666667;110.601;6.624;0.565;0.01;1.935;-11.68;4.16;-28.96
133;47.4731662833333;19.0632541666667;110.621;6.624;0.565;0.01;1.935;-11.68;4.16;-28.96
134;47.47316315;19.0632499666667;110.642;6.624;0.565;0.01;1.935;-11.68;4.16;-28.96
135;47.47316315;19.0632499666667;110.642;6.624;0.565;0.01;1.935;-11.68;4.16;-28.96
136;47.4731595;19.0632465;110.666;6.998;0.565;0.01;1.935;-11.68;4.16;-28.96
137;47.4731559333333;19.0632427666667;110.66;6.998;0.565;0.01;1.935;-11.68;4.16;-28.96
138;47.4731521166667;19.06323995;110.65;6.998;0.565;0.01;1.935;-11.68;4.16;-28.96
139;47.4731438;19.06323665;110.64;6.998;0.565;0.01;1.935;-11.68;4.16;-28.96
140;47.4731438;19.06323665;110.64;6.887;0.565;0.01;1.935;-11.68;4.16;-28.96
141;47.4731352;19.0632364666667;110.638;6.887;0.565;0.01;1.935;-11.68;4.16;-28.96
142;47.4731308166667;19.06323725;110.638;6.887;0.565;0.01;1.935;-11.68;4.16;-28.96
143;47.4731308166667;19.06323725;110.638;6.887;0.565;0.01;1.935;-11.68;4.16;-28.96
144;47.4731263;19.0632391833333;110.732;6.876;0.565;0.01;1.935;-11.68;4.16;-28.96
145;47.4731187166667;19.0632445666667;110.765;6.876;0.565;0.01;1.935;-11.68;4.16;-28.96
146;47.4731150833333;19.0632482166667;110.76;6.876;0.565;0.01;1.935;-11.68;4.16;-28.96
147;47.4731113666667;19.0632527666667;110.744;6.876;0.565;0.01;1.935;-11.68;4.16;-28.96
148;47.4731113666667;19.0632527666667;110.744;6.374;0.565;0.01;1.935;-11.68;4.16;-28.96
149;47.4731058833333;19.0632630833333;110.696;6.374;0.565;0.01;1.935;-11.68;4.16;-28.96
150;47.4731058833333;19.0632630833333;110.696;6.374;0.565;0.01;1.935;-11.68;4.16;-28.96
151;47.4731037666667;19.0632691666667;110.695;6.374;0.565;0.01;1.935;-11.68;4.16;-28.96
152;47.4731022666667;19.0632753166667;110.762;7.338;0.565;0.01;1.935;-11.68;4.16;-28.96
153;47.4731009833333;19.0632823666667;110.76;7.338;0.565;0.01;1.935;-11.68;4.16;-28.96
154;47.4731001666667;19.0632894333333;110.748;7.338;0.565;0.01;1.935;-11.68;4.16;-28.96
155;47.4731008833333;19.0633035666667;110.65;7.338;0.565;0.01;1.935;-11.68;4.16;-28.96
156;47.4731008833333;19.0633035666667;110.65;8.006;0.565;0.01;1.935;-11.68;4.16;-28.96
157;47.4731023833333;19.0633105666667;110.61;8.006;0.565;0.01;1.935;-11.68;4.16;-28.96
158;47.4731041333333;19.0633174;110.573;8.006;0.565;0.01;1.935;-11.68;4.16;-28.96
159;47.4731097166667;19.0633293;110.554;8.006;0.565;0.01;1.935;-11.68;4.16;-28.96
160;47.473113;19.0633344666667;110.543;7.674;0.565;0.01;1.935;-11.68;4.16;-28.96
161;47.473113;19.0633344666667;110.543;7.674;0.565;0.01;1.935;-11.68;4.16;-28.96
162;47.47312125;19.06334205;110.551;7.674;0.565;0.01;1.935;-11.68;4.16;-28.96
163;47.4731256;19.0633449666667;110.576;7.674;0.565;0.01;1.935;-11.68;4.16;-28.96
164;47.4731256;19.0633449666667;110.576;7.505;0.565;0.01;1.935;-11.68;4.16;-28.96
